,PE
3MINDIA,63.08412089365012
AARTIDRUGS,8.208607428335409
AARTIIND,24.602162655894542
ACE,7.451690573661019
ADANIPORTS,13.41579343707425
AEGISCHEM,45.02437877006271
BBOX,-8.432502505414854
ATFL,26.256003562581665
AIAENG,21.987667836440526
AJANTPHARM,24.864995248930107
ALKYLAMINE,11.232845391328162
ALLCARGO,6.226462729701912
ALOKINDS,0.4364640936667089
AMARAJABAT,11.916178774544052
ANANTRAJ,9.101343904864198
APARINDS,7.862025398090228
APOLLOHOSP,34.487222560684245
APOLLOTYRE,9.218160530813888
ARVIND,5.236403491045978
ASAHIINDIA,24.338326273085194
ASHOKLEY,35.65958769425102
ASIANPAINT,57.78935858543883
ASTRAMICRO,9.850137064776083
ASTRAZEN,82.49758393706747
ATUL,17.51001792573935
AUROPHARMA,8.28939874639621
AUTOAXLES,13.737412676226121
AXISBANK,55.29239593103724
BAJAJ-AUTO,9.830700263596006
BAJAJELEC,-297.7845386930913
BAJFINANCE,24.3444210943592
BAJAJFINSV,21.651463425266442
BAJAJHIND,-5.888889100816516
BAJAJHLDNG,6.169211523873465
BALAMINES,7.685981802388923
BALKRISIND,15.464317942703087
BALMLAWRIE,6.851050659050239
BALRAMCHIN,4.3154371476417515
BANKBARODA,21.76179228157833
BANKINDIA,-3.1997741601718497
MAHABANK,10.98020595052968
BANARISUG,11.073769969147436
BASF,209.2304042600236
BATAINDIA,45.86160174567702
BEML,28.77008843128033
BERGEPAINT,60.43717423839682
BEL,9.200100696390722
BHARATFORG,30.62332905084887
BHEL,-4.889631384625288
BPCL,17.070827742046646
BHARATRAS,13.898316531850526
BHARTIARTL,-6.995764565437597
BIOCON,42.245106757441654
BIRLACORPN,6.054433496986948
BSOFT,7.210077927821074
BLUEDART,-121.97993618020125
BLUESTARCO,29.76280063611193
BBTC,8.505561139076166
BOMDYEING,2.8706193045392006
BRIGADE,20.160198659404344
BRITANNIA,41.601273799003856
ZYDUSLIFE,22.391092351875272
CANFINHOME,9.63261697144635
CANBK,-3.574574140479863
CARBORUNIV,15.156932669103435
CCL,13.749555329274633
CEATLTD,13.552603955991998
CENTRALBK,-4.553903345724907
CENTURYPLY,16.225838450203952
CENTURYTEX,8.863457262698299
CERA,26.20333459982918
CESC,3.5838194785444375
CGPOWER,-0.23788574970129764
CHAMBLFERT,3.405422979848205
CHENNPETRO,-0.4035198921573758
CHOLAFIN,11.280369206628663
CIPLA,21.455099434825264
CUB,19.582733107201843
COFORGE,15.335220227907445
COLPAL,38.292940611207115
CONCOR,47.327990747838264
COROMANDEL,14.478575280830686
COSMOFIRST,3.2491572786573824
CUMMINSIND,11.952374351516452
DABUR,53.4027248839586
DALMIASUG,1.9653050231294347
DCMSHRIRAM,4.454999347683447
DEEPAKFERT,6.891924354378017
DCBBANK,8.499559874928327
DISHTV,-0.4753521350627774
DCAL,5.282178066744662
DIVISLAB,37.30919833353423
DLF,-55.494772250226916
DRREDDY,25.571951495545065
EIDPARRY,5.047328572267842
ECLERX,6.35931278389501
EDELWEISS,-1.553062893213888
EICHERMOT,19.100339061916543
EIHOTEL,24.980377316011065
ELECON,2.3530843111689905
ELGIEQUIP,41.07841093148758
EMAMILTD,24.16149179438601
ENGINERSIN,7.882170243696733
ESABINDIA,20.611167118467133
ESCORTS,11.890974710153978
EPL,21.950344045049704
EVEREADY,2.0566653388886853
EXIDEIND,13.977921400341476
FDC,13.984935218668737
FACT,2.1444515460998375
GNFC,3.1359962236994305
FINCABLES,7.589820142737766
FINPIPE,14.192537051528246
FSL,5.1354478330028295
FORTIS,163.3332785073813
GAIL,3.1683227598815016
GANESHHOUC,-0.7197855925550222
GARFIBRES,16.662991124868615
GEPIL,37.32324306081702
GET&D,-6.082910450581972
GHCL,2.067954357759452
GICHSGFIN,6.1490123077716845
GLAXO,208.03162730823863
GLENMARK,7.343768310546874
GMRINFRA,-4.057072054955267
GPIL,8.35530474300292
GODFRYPHLP,11.887886317412102
GODREJCP,35.57718412472251
GODREJIND,17.202308256165512
GOKEX,4.578514099121094
GRANULES,10.703324440123911
GRAPHITE,52.52560159434444
GRASIM,6.9618776702199865
GESHIP,13.102143122099736
GREAVESCOT,12.765399791576243
GREENPLY,20.746798824954343
GRINDWELL,26.16199752659474
GTLINFRA,-0.17123287671232876
GUJALKALI,4.540368763022273
GAEL,16.33369877653302
GMDCLTD,6.102587188919299
GSFC,11.896947687322443
GSPL,5.390819193721207
GOCLCORP,11.885723114013672
GVKPIL,-0.23784355179704014
HMT,1.906392781157472
HAVELLS,40.10418223685959
HBLPOWER,11.27889633178711
HCLTECH,9.497014894075921
HDFCBANK,17.623537772592062
HEG,26.129042394629355
HEIDELBERG,9.965090134943932
HERITGFOOD,-11.738928393689628
HEROMOTOCO,7.946097797788567
HIKAL,9.936882074731981
HIL,4.211801733351928
HFCL,5.076673475362487
HSCL,5.939761781401158
HIMATSEIDE,43.564277931495944
HINDALCO,5.495325424032201
HGS,4.626467049460345
HCC,3.0384615751413198
HINDOILEXP,3.3221797323135753
HINDPETRO,8.462039868220446
HINDUNILVR,69.21354605289541
HINDZINC,5.633248933570715
JCHAC,69.71172320337948
HONAUT,46.161231684446285
AGI,5.099358437485402
AKZOINDIA,38.62035163368621
ICICIBANK,21.313295229152597
IDBI,-1.3153226960879258
IDEA,-0.11371973237830404
IFBIND,39.40828312078171
IFCI,-2.977941316716811
IGARASHI,19.23755685906661
INDIAGLYCO,5.594492229036211
IIFL,5.41237642105666
IBREALEST,15.299624896674565
DHANI,1538.5713849748884
INDIANB,2.4129907144586102
INDIANHUME,7.539243792543315
IOC,-65.26536821793097
IOB,-0.8823529650481681
ICIL,6.098170968938001
INDOCO,78.9722821184697
IGL,20.560340710284997
INDUSINDBK,5.332164269258608
NAUKRI,-103.46917429783849
INFY,1063.9727228338068
CYIENT,6.719703159810032
IDFC,-2.0569917483207507
INGERRAND,21.857561709275885
IPCALAB,28.652681433642318
IRB,2.468177017963322
ITC,11.630201301482934
ITI,38.73456790123456
JKIL,2.9938719042646715
JKCEMENT,14.30915227856475
JBCHEPHARM,6.936813265259502
JAGRAN,4.605648139004032
JAICORPLTD,26.493867914727396
JISLJALEQS,-0.2379235726255432
JPASSOCIAT,0.23333332273695204
JPPOWER,-0.1993355560936405
J&KBANK,-0.7407024008743444
JAYNECOIND,-0.08276740440083685
JBMA,9.22603437693577
JINDALPOLY,1.7753092447916667
JINDALSAW,2.4352398523336185
JSL,16.118911794714027
JINDALSTEL,-75.3567165798611
JKLAKSHMI,9.092883955142984
JKPAPER,2.695753657835985
JKTYRE,6.3505808512369795
JMFINANCIL,9.193921383516287
JSWHL,15.024955299697151
JSWSTEEL,7.831747170995046
JUBLPHARMA,4.269813446948706
JYOTHYLAB,18.074703216552734
KAJARIACER,22.739639377237705
KANSAINER,38.574760359664104
KSCL,7.910378819615689
KCP,19.849937075660343
KEC,8.221866954456676
KEI,8.40901897739731
KKCL,9.638393740110759
KIRLOSBROS,9.333259203157372
KIRLOSENG,6.238451085920728
KOTAKBANK,28.919346700864914
KPRMILL,6.299844175746175
KRBL,5.537381085701906
LAOPALA,18.99401799178092
LAXMIMACH,86.6116473858173
LT,11.156171633873456
LICHSGFIN,4.436456879322052
DAAWAT,3.310829638608407
LUPIN,-96.88939198726365
MAHSCOOTER,11.983764687202287
MAHSEAMLES,14.872480886051067
M&MFIN,6.900527303977717
M&M,236.5299125339674
MAHLIFE,-5.037837028061653
MRPL,-1.2095088619921774
MARICO,33.17341376496326
MARKSANS,4.6370145361200645
MARUTI,22.114427977021816
MFSL,71.4869899820661
MCLEODRUSS,-0.1413427561837456
MERCATOR,-0.019595036702869297
UNOMINDA,40.25482916770333
MIRZAINT,9.28211548466526
MOTILALOFS,38.32936596660109
MPHASIS,9.28625659183528
MRF,17.23918426897621
NATCOPHARM,19.369318887173684
NATIONALUM,33.35409817630297
NFL,-4.7835724786691225
NAVA,1.3209405479589438
NAVINFLUOR,14.561919796553422
NAVNETEDUL,7.175886769305803
NCC,3.1133163807004
NESCO,14.489476685784028
NETWORK18,-8.01310060326189
NEULANDLAB,22.160930135187794
NLCINDIA,3.728183701403991
NIITLTD,0.9460337820567511
NMDC,5.474995593635404
NOCIL,7.920773582313451
NTPC,5.70163010737188
ONGC,6.6367570124349715
OLECTRA,29.788887717507105
OMAXE,-28.703006945158304
OFSS,9.284789193640686
PAGEIND,53.68353078691667
PATANJALI,0.19572075887161858
PETRONET,9.338234955409789
PFIZER,33.16572286686736
PCBL,3.322695528904935
PHOENIXLTD,25.989544358852257
PIDILITIND,60.96393560907643
PEL,758.4493536698192
POLYPLEX,2.5360143760565217
POONAWALLA,16.881986618041992
PFC,1.9370231034580736
POWERGRID,4.30526696962133
PRAJIND,14.010808374974632
PFOCUS,-5.824879192114234
PRSMJOHNSN,151.25
PTC,2.2524351467064996
PNB,39.063289165496826
RADICO,15.429988051905777
RAJESHEXPO,13.341319712789238
RALLIS,17.213236169985542
RAMCOCEM,19.495874258188103
RKFORGE,254.42558828026358
RCF,6.5152318318684905
RATNAMANI,13.321095330126196
RAYMOND,7.050429288364245
REDINGTON,4.2924235594596745
RELCAPITAL,-0.09416195856873823
RCOM,-0.004180332987061174
RELIANCE,17.258700262976653
RELINFRA,0.3478853959503798
RPOWER,-0.086011147044657
RELIGARE,-0.48166875441366747
RECLTD,2.544203907969391
SADBHAV,0.5864531569242529
SANGHVIMOV,-29.82861886616626
SCI,5.081487956799959
SHREECEM,39.896522733145744
RENUKA,0.42465754295592983
SHRIRAMFIN,5.53540894425891
SIYSIL,9.483876677082453
SKFINDIA,22.550247061965813
SMLISUZU,-20.628865559895832
SOBHA,4.281160091863974
SOLARINDS,30.442245664128595
SOMANYCERA,25.598429017147776
SONATSOFTW,5.715483359975736
SOUTHBANK,9.688187467640844
SREINFRA,2.038620479434038
SRF,15.497874121650087
SBIN,8.50524213459368
SAIL,3.9226632369192025
SSWL,23.341688703983387
STLTECH,5.712265241544929
STAR,78.44956872498462
STYRENIX,-65.71548095251848
SUDARSCHEM,17.432728452545604
SPARC,-8.091442697000184
SUNPHARMA,21.659320418242437
SUNTV,7.5020914981718905
SUNDRMFAST,18.54543155408615
SUPRAJIT,14.884152932250485
SURYAROSNI,1.5437806632853945
SUVEN,-3.138335118840288
SUZLON,-0.42741937943172864
TAKE,-46.64706061868107
TNPL,3.8048874640350587
TANLA,-3.2166635336388425
TATACHEM,0.72915961669407
TATACOFFEE,12.125828368863822
TATACOMM,-73.39105163978425
TCS,19.872259415970532
TATAELXSI,14.740499355449751
TATACONSUM,57.22281966276302
TATAINVEST,33.50271584269319
TATAMETALI,5.475564680036544
TATAMOTORS,-2.1528646358965378
TATAPOWER,9.902405738830566
TATASTLLP,-1.2802508671855852
TATASTEEL,9.329279598860076
TTML,-0.09473683959559391
TECHM,10.565167715786288
TECHNOE,13.615210182576599
TEXRAIL,-7.389199135055741
FEDERALBNK,5.001304011501053
INDIACEM,64.46973477346833
KTKBANK,2.7275744576176093
KARURVYSYA,6.466439305519571
SUPREMEIND,22.392888276473336
TINPLATE,8.06351548249501
WSTCSTPAPR,2.249664518870573
THERMAX,38.556978825102675
